id,Path (for context only),Term to translate,translation
38061F,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Insecticide -> Insect repellent,Insect repellent,
38071E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Molluscicide,Molluscicide,
38131E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Pesticide residue,Pesticide residue,
38141E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Pesticide Synergist,Pesticide Synergist,
38181E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Rodenticide,Rodenticide,
39331F,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Solvents -> Ethers -> Phthalates,Phthalates,
39341F,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Solvents -> Ethers -> Phenols,Phenols,
40251B,Hazards at work -> Nanoscale materials,Nanoscale materials,
40256C,Hazards at work -> Nanoscale materials -> Nanoparticles,Nanoparticles,
40261C,Hazards at work -> Nanoscale materials -> Ultrafine particles,Ultrafine particles,
40271B,Hazards at work -> Nanotechnology,Nanotechnology,
41021D,Hazards at work -> Physical hazards -> Radiation hazards -> Radioactive substances,Radioactive substances,
41091E,Hazards at work -> Physical hazards -> Radiation hazards -> Non-ionising radiation -> Electromagnetic compatibility,Electromagnetic compatibility,
41301E,Hazards at work -> Physical hazards -> Radiation hazards -> Non-ionising radiation -> Optical radiation,Optical radiation,
43091D,"Hazards at work -> Hazards in plant, machinery and work equipment -> Material handling equipment -> Mobile work equipment",Mobile work equipment,
43096E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Material handling equipment -> Mobile work equipment -> Lift truck",Lift truck,
43491D,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Human-powered vehicle",Human-powered vehicle,
43501E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Human-powered vehicle -> Bicycle",Bicycle,
43581E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Motor vehicles -> Bus",Bus,
43611E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Motor vehicles -> Motorcycle",Motorcycle,
43616E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Motor vehicles -> Taxi",Taxi,
43621E,"Hazards at work -> Hazards in plant, machinery and work equipment -> Moving vehicles -> Motor vehicles -> Van",Van,
44381C,"Hazards at work -> Hazards in plant, machinery and work equipment -> Radio equipment",Radio equipment,
45371C,Hazards at work -> Psychological and organisational hazards -> Discrimination,Discrimination,
45376D,Hazards at work -> Psychological and organisational hazards -> Discrimination -> Age discrimination,Age discrimination,
45381D,Hazards at work -> Psychological and organisational hazards -> Discrimination -> Discrimination on the basis of disability,Discrimination on the basis of disability,
45386D,Hazards at work -> Psychological and organisational hazards -> Discrimination -> Discrimination on the basis of race or ethnicity,Discrimination on the basis of race or ethnicity,
45391D,Hazards at work -> Psychological and organisational hazards -> Discrimination -> Discrimination on the basis of sexual orientation,Discrimination on the basis of sexual orientation,
45396D,Hazards at work -> Psychological and organisational hazards -> Discrimination -> Discrimination by gender,Discrimination by gender,
46331C,Hazards at work -> Psychological and organisational hazards -> Psychosocial work demands,Psychosocial work demands,
46386E,Hazards at work -> Psychological and organisational hazards -> Psychosocial work demands -> Psychosocial work environment -> Performance monitoring and rewards,Performance monitoring and rewards,
46761D,"Ill health and accidents -> Accidents, incidents -> Consequences of accidents -> Absence from work following accident",Absence from work following accident,
46941D,"Ill health and accidents -> Accidents, incidents -> Evacuations -> Crowd control",Crowd control,
47771E,"Ill health and accidents -> Accidents, incidents -> Work accidents -> Slips, trips, falls -> Fall from height",Fall from height,
47781E,"Ill health and accidents -> Accidents, incidents -> Work accidents -> Slips, trips, falls -> Fall into water",Fall into water,
48331D,"Ill health and accidents -> Accidents, incidents -> Type of injuries -> Abdominal injury",Abdominal injury,
48341D,"Ill health and accidents -> Accidents, incidents -> Type of injuries -> Bites and stings",Bites and stings,
48351D,"Ill health and accidents -> Accidents, incidents -> Type of injuries -> Electrical injuries",Electrical injuries,
49091D,"Ill health and accidents -> Accidents, incidents -> Type of injuries -> Effects of radiation exposure",Effects of radiation exposure,
49141F,"Ill health and accidents -> Accidents, incidents -> Type of injuries -> Effects of temperature extremes, light, radiation -> Heat stress -> Heat stroke",Heat stroke,
49781D,Ill health and accidents -> Diseases -> Cancer -> Bone cancer,Bone cancer,
49811D,Ill health and accidents -> Diseases -> Cancer -> Breast cancer,Breast cancer,
49821D,Ill health and accidents -> Diseases -> Cancer -> Colon cancer,Colon cancer,
49831D,Ill health and accidents -> Diseases -> Cancer -> Colorectal cancer,Colorectal cancer,
49851D,Ill health and accidents -> Diseases -> Cancer -> Gastrointestinal cancer,Gastrointestinal cancer,
49861D,Ill health and accidents -> Diseases -> Cancer -> Kidney cancer,Kidney cancer,
49871D,Ill health and accidents -> Diseases -> Cancer -> Larynx cancer,Larynx cancer,
49891D,Ill health and accidents -> Diseases -> Cancer -> Liver cancer,Liver cancer,
49931D,Ill health and accidents -> Diseases -> Cancer -> Lymphatic cancer,Lymphatic cancer,
49941E,Ill health and accidents -> Diseases -> Cancer -> Lymphatic cancer -> Lymphoma,Lymphoma,
49946F,Ill health and accidents -> Diseases -> Cancer -> Lymphatic cancer -> Lymphoma -> Hodgkin's disease,Hodgkin's disease,
49951D,Ill health and accidents -> Diseases -> Cancer -> Melanoma,Melanoma,
500021D,Ill health and accidents -> Diseases -> Cancer -> Pancreatic cancer,Pancreatic cancer,
50061D,Ill health and accidents -> Diseases -> Cancer -> Stomach cancer,Stomach cancer,
50211C,Ill health and accidents -> Diseases -> Circulatory diseases,Circulatory diseases,
50216D,Ill health and accidents -> Diseases -> Circulatory diseases -> Cardiovascular diseases,Cardiovascular diseases,
50221E,Ill health and accidents -> Diseases -> Circulatory diseases -> Cardiovascular diseases -> Varicose veins,Varicose veins,
50251C,"Ill health and accidents -> Diseases -> Endocrine, nutritional and metabolic diseases","Endocrine, nutritional and metabolic diseases",
50256D,"Ill health and accidents -> Diseases -> Endocrine, nutritional and metabolic diseases -> Diabetes",Diabetes,
50258D,"Ill health and accidents -> Diseases -> Endocrine, nutritional and metabolic diseases -> Metabolic disorders",Metabolic disorders,
50261C,Ill health and accidents -> Diseases -> Digestive system disorders,Digestive system disorders,
50901C,Ill health and accidents -> Diseases -> Hypoxia,Hypoxia,
51251D,Ill health and accidents -> Diseases -> Infectious diseases -> Influenza,Influenza,
51271D,Ill health and accidents -> Diseases -> Infectious diseases -> Tuberculosis,Tuberculosis,
51291E,Ill health and accidents -> Diseases -> Infectious diseases -> Zoonoses -> Anthrax,Anthrax,
51301E,Ill health and accidents -> Diseases -> Infectious diseases -> Zoonoses -> Avian influenza,Avian influenza,
51371E,Ill health and accidents -> Diseases -> Infectious diseases -> Zoonoses -> Hantavirus,Hantavirus,
51581C,Ill health and accidents -> Diseases -> Kidney disease,Kidney disease,
52141D,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Arthritis,Arthritis,
52151D,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Arthrosis,Arthrosis,
52331D,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Tenosynovitis,Tenosynovitis,
52651E,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Lower limb disorders -> Foot disorders,Foot disorders,
52656E,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Lower limb disorders -> Knee disorders,Knee disorders,
52661E,Ill health and accidents -> Diseases -> Musculoskeletal disorders -> Lower limb disorders -> Hip disorder,Hip disorder,
52671C,Ill health and accidents -> Diseases -> Nasal disorders,Nasal disorders,
52771D,Ill health and accidents -> Diseases -> Neuropsychiatric diseases -> Parkinson's disease,Parkinson's disease,
52781C,Ill health and accidents -> Diseases -> Obesity,Obesity,
52801C,Ill health and accidents -> Diseases -> Respiratory and lung diseases,Respiratory and lung diseases,
52811D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Aspergillosis,Aspergillosis,
53011D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Caplan's syndrome,Caplan's syndrome,
53221D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Organic dust diseases,Organic dust diseases,
53421D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Pneumonia,Pneumonia,
53431E,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Pneumonia -> Psittacosis,Psittacosis,
53491D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Siderosis,Siderosis,
53501D,Ill health and accidents -> Diseases -> Respiratory and lung diseases -> Silo filler's disease,Silo filler's disease,
53701C,Ill health and accidents -> Diseases -> Sick building syndrome,Sick building syndrome,
54131C,Ill health and accidents -> Diseases -> Voice and speech disorders,Voice and speech disorders,
54141D,Ill health and accidents -> Diseases -> Voice and speech disorders -> Vocal cord injuries,Vocal cord injuries,
54281D,Work and workers -> Stakeholders -> Type of workers -> Ageing and older workers,Ageing and older workers,
54451D,Work and workers -> Stakeholders -> Type of workers -> Care worker,Care worker,
54461D,Work and workers -> Stakeholders -> Type of workers -> Clandestine worker,Clandestine worker,
54471D,Work and workers -> Stakeholders -> Type of workers -> Cleaning worker,Cleaning worker,
54541D,Work and workers -> Stakeholders -> Type of workers -> Drivers,Drivers,
54781D,Work and workers -> Stakeholders -> Type of workers -> Lifeguard,Lifeguard,
54961D,Work and workers -> Stakeholders -> Type of workers -> Migrant and immigrant workers,Migrant and immigrant workers,
55091D,Work and workers -> Stakeholders -> Type of workers -> Rescue worker,Rescue worker,
55261D,Work and workers -> Stakeholders -> Type of workers -> Maintenance worker,Maintenance worker,
55371D,Work and workers -> Stakeholders -> Type of workers -> Service sector workers,Service sector workers,
55381E,Work and workers -> Stakeholders -> Type of workers -> Service sector workers -> Hairdressers and barbers,Hairdressers and barbers,
55391E,Work and workers -> Stakeholders -> Type of workers -> Service sector workers -> Security workers,Security workers,
55541D,Work and workers -> Stakeholders -> Type of workers -> Teachers and educators,Teachers and educators,
55781E,Work and workers -> Stakeholders -> Type of workers -> Women -> Women going through the menopause,Women going through the menopause,
55851E,Work and workers -> Stakeholders -> Type of workers -> Young workers -> Child worker,Child worker,
55861E,Work and workers -> Stakeholders -> Type of workers -> Young workers -> Adolescent workers,Adolescent workers,
56371D,Work and workers -> Stakeholders -> Other stakeholders -> Parent,Parent,
57161C,Work and workers -> Workplaces -> Activity centres and amusement parks,Activity centres and amusement parks,
57301D,Work and workers -> Workplaces -> Catering and accommodation establishments -> Bars and pubs,Bars and pubs,
57321D,Work and workers -> Workplaces -> Catering and accommodation establishments -> Cafes and restaurants,Cafes and restaurants,
57361D,Work and workers -> Workplaces -> Catering and accommodation establishments -> Hotels and guesthouses,Hotels and guesthouses,
58141C,Work and workers -> Workplaces -> Garages and depots,Garages and depots,
58211C,Work and workers -> Workplaces -> Health care facility,Health care facility,
58231D,Work and workers -> Workplaces -> Health care facility -> Dental clinic,Dental clinic,
58331C,Work and workers -> Workplaces -> Laundry,Laundry,
58661C,Work and workers -> Workplaces -> Performance venue,Performance venue,
58771C,Work and workers -> Workplaces -> Prison,Prison,
59581D,Work and workers -> Workplaces -> Ships -> Passenger vessel,Passenger vessel,
59591D,Work and workers -> Workplaces -> Ships -> Cargo or merchant vessel,Cargo or merchant vessel,
59731C,Work and workers -> Workplaces -> Transport hub,Transport hub,
59741D,Work and workers -> Workplaces -> Transport hub -> Airport,Airport,
59751D,Work and workers -> Workplaces -> Transport hub -> Bus station,Bus station,
59886C,Work and workers -> Work processes -> Assembly line work,Assembly line work,
59891C,Work and workers -> Work processes -> Construction work,Construction work,
59894D,Work and workers -> Work processes -> Construction work -> Excavation work,Excavation work,
59897D,Work and workers -> Work processes -> Construction work -> Road construction and maintenance,Road construction and maintenance,
59901D,Work and workers -> Work processes -> Construction work -> Tunnelling,Tunnelling,
59904C,Work and workers -> Work processes -> Delivery of goods,Delivery of goods,
59907C,Work and workers -> Work processes -> Diving,Diving,
59931C,Work and workers -> Work processes -> Demolition work,Demolition work,
59941C,Work and workers -> Work processes -> Electrical work,Electrical work,
59946C,Work and workers -> Work processes -> Food preparation,Food preparation,
60001D,Work and workers -> Work processes -> Machining -> Filing,Filing,
